date,location_id,location_name,latitude,longitude,ndvi,ndvi_source
2011-08-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3565,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-09-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.337,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-09-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4351,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-10-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3938,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-11-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4836,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-11-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.5212,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-12-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.1988,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-12-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.457,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-01-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.5705,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-01-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.442,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-02-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4288,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-02-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4325,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-03-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4749,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-03-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4354,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-04-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4524,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-04-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4097,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-05-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.375,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-05-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4263,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-06-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3989,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-06-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3863,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-07-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3766,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-07-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3492,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-08-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3565,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-08-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.2986,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-09-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3487,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-09-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3858,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-10-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3948,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-10-31,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3878,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2012-11-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3413,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
